Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Fish tikka,Carbohydrates (g),16,4.15,1.18,1.18,503.44,31.98,1.41,0.9,4.62
Tandoori fish,Carbohydrates (g),11.19,4.64,1.6,0.58,123.94,37.27,0.46,19.66,27.55
"Paneer, apple and pineapple salad",Carbohydrates (g),3.88,5.07,6.36,1.65,176.63,103.05,0.84,25.3,67.13
Russian salad,Carbohydrates (g),4.26,7.84,1.66,2.57,101.09,34.92,1.23,49.56,104.32
Pasta salad,Carbohydrates (g),4.15,13.92,2.6,0.96,152.31,66.74,0.81,38.78,56.54
Deviled egg,Carbohydrates (g),4.97,7.72,0.82,1.15,117.29,36.84,1.51,18.42,48.39
Hawain salad,Carbohydrates (g),4.27,11.37,5.24,3.93,64.92,61.03,1.12,51.75,123.62
Mixed pulse and vegetable salad,Carbohydrates (g),4.74,0.84,1.36,2.96,127.78,51.63,2.13,23.82,105.59
Sprouted moong salad ,Carbohydrates (g),2.29,0.74,2.13,0.95,116.38,54.56,1.45,27.84,49.76
Tossed salad,Carbohydrates (g),1.02,4.22,1.56,2.15,77.5,32.37,0.86,85.7,99.67
Mixed vegetable salad with curd sauce,Carbohydrates (g),4.23,1.5,2.16,3.79,116.66,65.51,1.35,37.73,86.34
Potato salad (Aloo ka salaad),Carbohydrates (g),1.4,4.4,3.94,1.32,125.01,25.61,0.99,58.78,52.72
Waldroff salad,Carbohydrates (g),1.47,10.05,8.23,1.87,13.42,29.29,1.07,21.43,40.62
Coleslaw,Carbohydrates (g),1.24,5.32,3.62,2.34,29.87,37,0.63,22.99,41.98
Fruit salad (Phalon ka salaad),Carbohydrates (g),0.91,1.22,9.78,1.58,7.11,25.93,0.81,52.45,45.4
Tomato onion raita (Tamatar aur pyaaz ka raita),Carbohydrates (g),3.74,1.84,5.98,0.97,165.21,120.62,0.26,15.04,34.77
Peanut raita (Mungfali ka raita),Carbohydrates (g),8.59,8.98,7.11,1.89,235.83,174.6,0.74,2.59,36.67
Sprouted moong raita ,Carbohydrates (g),4.62,2.19,5.59,0.16,189.2,139.44,0.86,3.59,27
Bottle gourd raita (Ghiya/Lauki ka raita),Carbohydrates (g),3.98,2.07,5.25,0.85,188.37,138.26,0.23,4.76,39.49
Cucumber raita (Kheere ka raita),Carbohydrates (g),4.04,2.08,5.22,0.86,189.96,138.58,0.29,5.65,26.92
Carrot and spinach raita (Gajar aur palak ka raita),Carbohydrates (g),4,1.99,4.93,1.39,180.79,142.57,1.04,19.29,95.51
Mint raita (Pudinay ka raita),Carbohydrates (g),5.64,2.96,7.48,0.34,274.38,198.22,0.37,2.94,20.62
Potato raita (Aloo ka raita),Carbohydrates (g),4.22,2.04,5.08,0.75,183.37,132.31,0.34,15.33,27.03
Boondi raita,Carbohydrates (g),2.19,73.83,1.88,0.46,99.18,49,0.24,0.77,37.83
Sweet raita (Meetha raita),Carbohydrates (g),3.24,1.78,15.36,1.02,42.98,108.91,0.21,5.2,24.9
Dahi vadas/Dahi bhalla,Carbohydrates (g),2.96,70.4,1.78,0.97,79,49.03,0.49,0.57,18.3
Gunjia,Carbohydrates (g),2.98,70.28,2.05,1.13,77.9,48.16,0.5,0.51,19.06
Saunth/Sonth chutney with tamarind/imli,Carbohydrates (g),1.01,0.15,31.31,0.93,244.38,54.74,2.71,0.09,0.99
Rice kheer (Chawal ki kheer),Carbohydrates (g),2.3,2.97,8.02,0.17,16.24,75.57,0.17,5.06,19.54
Makhana kheer,Carbohydrates (g),3.31,5,11.54,0.11,23.4,111.64,0.28,5.06,23.77
Vermicelli kheer (Semiya/Seviyan ki kheer),Carbohydrates (g),3.35,5,12.79,0.5,22.52,104.8,0.3,4.06,16.29
Semolina kheer (Suji/Rava kheer),Carbohydrates (g),3.43,4.2,12.88,0.51,22.66,105.99,0.34,4.06,17.54
Paneer kheer,Carbohydrates (g),4.53,5.37,9.87,0.07,23.81,144.66,0.26,5.06,41.81
Cabbage kheer (Pattagobhi ki kheer),Carbohydrates (g),2.87,3.8,9.28,0.51,22.67,102.74,0.24,17.36,33.51
Carrot kheer (Gajar ki kheer),Carbohydrates (g),2.81,3.85,9.63,0.73,28.54,100.12,0.28,6.54,24.59
Cauliflower kheer (Phoolgobhi ki kheer),Carbohydrates (g),3.04,3.95,8.49,0.55,25.19,101.75,0.3,23.92,36.87
Moong dal kheer,Carbohydrates (g),2.95,2.97,7.92,0.4,16.34,75.66,0.28,5.06,32.3
Phirni,Carbohydrates (g),3.49,4.34,10.79,0.36,22.47,104.57,0.23,5.04,20.33
Semolina halwa (Suji ka halwa),Carbohydrates (g),2.16,13.38,13.98,1.86,1.28,11.77,0.65,0.05,7.96
Shahi suji halwa,Carbohydrates (g),3.48,21.73,27.21,2.96,2.18,18.64,0.98,0.02,7.46
Carrot halwa (Gajar ka halwa),Carbohydrates (g),3.11,9.73,16.85,2.65,39.96,106.94,0.76,6.53,44.8
Egg halwa (Ande ka halwa),Carbohydrates (g),7.85,13.41,37.85,0.49,83.04,35.77,1.45,0,24.67
Potato halwa (Aloo ka halwa),Carbohydrates (g),1.53,3.48,17.42,1.64,4.23,14.15,0.63,28.98,20.72
Pumpkin halwa (Kaddu ka halwa),Carbohydrates (g),1.33,8.81,26.64,2.97,8.09,24.34,0.63,8.08,27.9
Moong dal halwa,Carbohydrates (g),8.35,17.68,25.59,2.65,11.19,110.4,1.51,0.03,34.53
Caramel custard (steamed),Carbohydrates (g),4.97,4.87,14.98,0,43.57,88.12,0.51,3.02,35.21
Baked custard,Carbohydrates (g),5.41,5.3,9.42,0,47.13,95.32,0.54,3.02,35.21
Soft Custard (stirred),Carbohydrates (g),5.01,5.07,11.15,0,122.17,95.82,0.49,3.62,37.31
Chocolate ice cream,Carbohydrates (g),4.47,11.25,15.33,0,36.79,84.24,0.47,4.06,43.75
Mango ice cream,Carbohydrates (g),3.4,7.62,11.01,0.52,29.13,67.17,0.39,44.98,142.26
Fruit Ice cream (Phalon ka Ice cream),Carbohydrates (g),4.37,10.38,14.03,0.33,38.78,93.35,0.36,4.02,15.6
Caramel ice cream,Carbohydrates (g),4.31,11.15,14.52,0.08,33.47,87.32,0.35,3.27,25.96
Lemon souffle,Carbohydrates (g),6.95,10.02,11.67,0,50.73,59.81,0.56,12.9,32.11
Orange souffle,Carbohydrates (g),6.8,9.73,12.31,0.22,49.22,59.04,0.65,19.16,37.93
Vanilla souffle,Carbohydrates (g),7.71,11.19,12.86,0,56.73,70.6,0.58,1.3,30.71
Chocolate souffle,Carbohydrates (g),7.88,11.36,12.69,0,56.07,71.55,0.71,1.3,31.85
Pineapple souffle ,Carbohydrates (g),8.06,11.72,13.45,0,59.17,67.23,0.61,1,29.66
Apple mousse,Carbohydrates (g),4.21,4.27,10.56,1.6,28.79,33.76,0.48,14.48,35.22
Rich chocolate mousse,Carbohydrates (g),7.96,12.19,10.3,0,51.71,54.59,0.97,0.7,31.64
Mango mousse,Carbohydrates (g),3.21,8.47,8.89,0.88,19.62,51.38,0.35,42.76,110.68
Orange and pineapple cream,Carbohydrates (g),1.44,5.43,11.37,1.03,10.17,35,0.41,19.89,10.56
Charlotte rousse,Carbohydrates (g),3.95,4.78,20.48,1.01,56.45,34.95,0.53,25.28,28.72
Triffle pudding,Carbohydrates (g),2.93,3.93,13.89,0.12,26.95,48.72,0.47,19.31,28.71
Snow flakes pudding,Carbohydrates (g),4.67,4.97,8.01,0.03,39.6,101.33,0.42,5.47,42.48
Kulfi,Carbohydrates (g),3.21,4.7,10.39,0.12,23.97,111.86,0.2,5.04,18.69
Steamed orange pudding,Carbohydrates (g),2.34,12.04,26.53,0.58,79.1,21.15,0.55,21.74,15.92
Meringue and rice pudding,Carbohydrates (g),4.84,4.05,10.87,0.17,44.16,85.43,0.37,3.02,24.69
Cheese pudding,Carbohydrates (g),11.29,18.37,18.63,0.05,37.83,226.11,0.87,0.3,60.43
Chocolate pudding,Carbohydrates (g),3.55,9.48,20.68,0.53,171.36,64.56,0.6,0.75,18.08
Bread and butter pudding ,Carbohydrates (g),5.59,7.88,11.84,0.98,96.3,105.54,0.9,1.58,21.41
Queen of pudding,Carbohydrates (g),5.51,5.38,11.77,0.27,85.59,78.26,0.53,8.11,46.64
Pineapple upside down pudding,Carbohydrates (g),3.15,11.91,22.16,0.8,74.52,26.05,0.68,9.66,15.44
Date and nut pie,Carbohydrates (g),3.93,13.31,31.18,4.13,3.87,34.69,1.54,6.39,32.22
Stewed apple with custard,Carbohydrates (g),1.27,1.82,15.46,1.01,16.66,49.24,0.18,5.6,10.2
Apple snowballs,Carbohydrates (g),0.86,0.31,19.4,1.25,12.8,9.43,0.18,4.46,4.64
Hot orange souffle,Carbohydrates (g),6.87,8.95,14.93,0.29,58.8,53.81,1.03,7.01,30.66
Hot chocolate souffle,Carbohydrates (g),6.7,11.1,22.88,0.12,54.11,60.19,1.08,0.9,30.6
Hot vanilla souffle,Carbohydrates (g),6.87,9.07,18.17,0.13,59.59,63.2,0.93,0.9,28.8
Plain burfi (Burfi),Carbohydrates (g),9.82,27.96,30.43,0.17,31.65,355.78,1.5,0.05,23.94
Coconut burfi (Nariyal ki burfi),Carbohydrates (g),8.81,34.63,31.5,3.5,27.63,272.81,1.82,0,26.6
Bottle gourd burfi (Ghiya/Lauki burfi),Carbohydrates (g),5.86,17.68,23.92,0.73,18.15,215.85,0.93,1.08,34.06
Chocolate burfi,Carbohydrates (g),13,17.86,32.38,0,39.32,466.48,2.12,0,23.85
Cashewnut burfi (Kaju burfi/Kaju katli),Carbohydrates (g),5.48,28.46,31.43,1.12,4.23,12.95,1.79,0,2.1
Gram flour burfi (Besan burfi),Carbohydrates (g),11.19,22.41,28.44,3.41,13.02,160.71,1.47,0,32.38
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),Carbohydrates (g),6.71,21.86,33.28,4.68,14.4,106.42,1.73,0.03,7.1
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),Carbohydrates (g),5.68,27.03,27.32,6.69,9.06,26.72,1.83,0.05,5.21
Gram flour ladoo (Besan ladoo),Carbohydrates (g),8.93,22.76,37.76,4.43,5.48,25.35,1.51,0,24.79
Sesame ladoo (Til ke ladoo),Carbohydrates (g),10.7,19.64,38.63,7.72,18.55,631.82,8.94,0,18.17
Chenna murki,Carbohydrates (g),10.46,8.2,35.55,0,11.4,266.85,0.55,0,46.65
Milk cake,Carbohydrates (g),3.01,8.93,8.9,0.06,24.97,104.94,0.2,8,18.19
Ghujia/Lavang latika,Carbohydrates (g),1.86,78.93,6.08,0.52,3.28,31.01,0.44,0.01,6.86
Gulab Jamun with khoya,Carbohydrates (g),2.03,53.23,24.12,0.07,15.09,67.32,0.39,0.02,16.44
Mal pua,Carbohydrates (g),1.71,54.64,11.77,0.62,6.35,30.05,0.33,0.67,5.3
Shahi tukre,Carbohydrates (g),2.76,2.54,34.7,0.51,71.04,76.47,0.37,0.86,7.61
Potato pakora/pakoda (Aloo pakoda),Carbohydrates (g),1.9,71.84,0.22,1.03,63.38,6.59,0.38,18.53,109.12
Onion pakora/pakoda (Pyaaz ke pakode),Carbohydrates (g),1.9,71.84,0.88,1.11,63.55,7.95,0.36,5.36,119.81
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),Carbohydrates (g),1.98,71.86,0.23,1.26,66.54,8.44,0.42,37.72,133.47
Mixed vegetable pakora/pakoda,Carbohydrates (g),1.94,71.86,0.38,1.13,65.35,9.55,0.46,21.46,143.18
Spinach pakora/pakoda (Palak pakoda),Carbohydrates (g),1.96,76.38,0.2,1.02,69.54,10.99,0.52,12.12,153.51
Methi pakora/pakoda (Methi ke pakode),Carbohydrates (g),2.06,76.39,0.25,1.18,69.83,23.07,0.69,23.31,126.81
Egg pakora/pakoda (Ande ke pakode),Carbohydrates (g),2.83,75.86,0.19,0.86,75.37,9.55,0.47,0.01,121.37
Bread pakora/pakoda,Carbohydrates (g),2.57,74.2,0.46,1.11,101.49,19.83,0.46,0.01,114.11
Paneer pakora/pakoda,Carbohydrates (g),3.27,76.05,1.08,0.89,131.7,43.38,0.43,0.07,143.43
Potato bonda (Aloo bonda),Carbohydrates (g),1.09,67.8,0.27,0.83,132.53,6.79,0.37,8.96,16.02
Potato samosa (Aloo ka samosa),Carbohydrates (g),1.71,59.19,0.29,1.19,77.1,7.63,0.5,11.27,12.8
Minced meat samosa (Keema ka samosa),Carbohydrates (g),4.43,64.26,0.5,0.39,88.64,6.7,0.55,0.82,4.62
Paneer and pea samosa (Paneer matar ka samosa),Carbohydrates (g),4.02,63.65,1.69,1.02,78.18,64.56,0.53,6.67,26.39
Mathri,Carbohydrates (g),1.75,83.1,0.29,0.6,64.7,5.23,0.43,0,2.38
Khasta kachori,Carbohydrates (g),2.51,72.27,0.34,0.97,90.56,7.84,0.59,0.86,6.38
Vegetable cutlet,Carbohydrates (g),1.25,71.33,0.35,0.93,85.38,13.55,0.4,16.89,30.52
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),Carbohydrates (g),1.76,73.89,0.27,0.86,76.65,9.17,0.59,12.63,23.98
Peanut cutlet (Mungfali ke cutlet),Carbohydrates (g),2.63,74,0.51,1.21,84.24,14.38,0.56,12.63,38.52
Fish cutlet (Machli ka cutlet),Carbohydrates (g),2.77,70.11,0.29,0.54,75.33,10.44,0.36,10.46,19.06
Paneer potato cutlet (Paneer aloo cutlet),Carbohydrates (g),2.47,71.4,1.02,0.41,85.71,45.36,0.38,11.61,41.52
Spinach chickpeas cutlet (Palak channa dal cutlet),Carbohydrates (g),1.44,73.6,0.16,0.93,79.13,11.3,0.57,16.18,49.07
Cheese toast,Carbohydrates (g),1.98,84.11,0.53,0.31,121.05,43.87,0.31,0,6.85
Vegetable burger,Carbohydrates (g),3.26,50.63,1.88,1.7,168.97,26.08,0.7,24.68,40.96
Cheese pizza,Carbohydrates (g),5.79,12.43,3.42,1.95,397.73,96.51,1.09,6.72,15.85
Vegetable seekh kebab,Carbohydrates (g),1.57,73.72,0.74,0.59,83.67,32.66,0.36,6.86,13.84
Masala vada,Carbohydrates (g),1.69,89.15,0.24,1.07,74.53,7.45,0.52,2.05,32.14
Peanut sago vada (Sabudana mungfali vada),Carbohydrates (g),1.01,79.82,0.19,0.62,71.29,5.03,0.38,9.74,15.66
Vegeterian scotch egg,Carbohydrates (g),2.16,72.77,0.23,0.58,93.33,15.2,0.46,12.53,32.4
Paneer shaslik/tikka,Carbohydrates (g),5.11,4.49,4.61,1.23,103.39,123.86,0.68,107.71,174.74
Peanut brittle (Moongfali ki chikki),Carbohydrates (g),6.94,11.13,43.92,2.63,15.99,68.03,3.22,0,7.48
Spring roll,Carbohydrates (g),1.81,64.63,0.6,0.67,132.84,9.51,0.49,4.59,9.59
Dry mango chutney (Sookhe aam ki chutney),Carbohydrates (g),2.43,0.7,61.86,3.74,437.91,72.05,3.98,0.25,5.17
Peanut chutney (Mungfali ki chutney),Carbohydrates (g),11.8,19.06,2.76,5.73,475.34,34.79,1.99,4.2,10.14
Coconut chutney (Nariyal ki chutney),Carbohydrates (g),3.59,25,3.79,6.73,428.28,15.7,1.25,4.13,4.74
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),Carbohydrates (g),2.81,0.51,15.88,4.33,391.66,107.45,4.76,3.62,10.89
Custard tart,Carbohydrates (g),3.72,10.73,9.31,0.91,59.74,57.47,0.49,1.18,5.64
Lemon tart,Carbohydrates (g),6.12,17.45,10.68,0.81,76.09,24.03,0.98,2.66,9.19
Jam tart,Carbohydrates (g),4.42,17.35,14.74,1.14,70.34,12.23,0.74,0,2.44
Orange cream tart,Carbohydrates (g),2.58,8.72,10.08,0.64,36.85,13.84,0.58,19.6,13.7
Pineapple tart,Carbohydrates (g),2.29,8.21,11.09,0.87,37.88,12.02,0.5,6.85,6.84
Cheese and mushroom tart,Carbohydrates (g),5.51,15.28,3.16,1.18,212.42,100.97,0.59,6.53,7.96
Cottage cheese pie,Carbohydrates (g),7.45,13.83,3.62,2.21,103.29,108.05,0.92,36.25,124.39
Minced meat pie,Carbohydrates (g),7.38,13.04,1.42,2.33,127.85,18.14,1.07,37.52,69.49
Apple cinnamon pie,Carbohydrates (g),3.35,12.21,11.95,1.77,60.14,16.14,0.65,2.24,11.58
Lemon meringue pie,Carbohydrates (g),3.88,8.16,21.17,0.44,85.12,16.79,0.67,5.1,17.48
Chocolate meringue pie,Carbohydrates (g),4.98,9.17,15.03,0.37,80.77,55.98,0.92,1.26,23.21
Cream puffs,Carbohydrates (g),4.7,15.48,5.94,0.38,98.76,37.93,0.58,0.2,8.79
Chocolate eclairs,Carbohydrates (g),4.24,13.5,17.34,0.33,85.88,34.21,0.68,0.4,18.34
Cheese balls,Carbohydrates (g),2.21,72.57,0.63,0.18,120.7,30.01,0.32,0.01,2.95
Minced meat patties,Carbohydrates (g),6.88,19.57,0.88,0.77,252.18,19.23,0.93,1.58,16.37
Cheese patties,Carbohydrates (g),7.38,22.67,3.93,1.24,295.22,126.41,0.82,3.37,31.43
Hot cheese souffle,Carbohydrates (g),9.18,13.23,2.91,0.12,286.96,169.17,0.83,2.41,66.94
Hot potato souffle,Carbohydrates (g),5.51,7.64,1.78,0.66,97.2,56.84,0.79,30.19,78.05
Hot fish souffle,Carbohydrates (g),11.23,9.24,1.68,0.1,110.94,58.18,0.7,2.41,70.97
Hot spinach souffle,Carbohydrates (g),5.43,7.24,1.64,0.99,104.69,80.77,1.67,47.83,272.44
Plain cream cake,Carbohydrates (g),6.18,16.17,27.74,0.71,174,41.95,1.02,0.08,8.66
Apple cake (Seb ka cake),Carbohydrates (g),4.94,12.87,23.52,1.22,136.95,38.99,0.9,1.16,9.32
Marble cake,Carbohydrates (g),6.3,16.27,27.56,0.71,138.48,39.6,1.12,0.08,8.85
Chocolate cake,Carbohydrates (g),6.01,15.18,27.58,0.64,241.93,41.13,1.08,0.15,9.21
Orange cake,Carbohydrates (g),6.1,16.21,28.38,0.83,105.41,29.72,1.06,1.88,9.25
Fruit Loaf ,Carbohydrates (g),5.36,13.31,24.54,0.87,160.6,45.71,0.96,2.47,7.82
Banana cake (Kele ka cake),Carbohydrates (g),5.77,23.31,23.04,1.14,117.81,23.55,1.14,0.98,11.33
Chocolate chiffon cake,Carbohydrates (g),5.76,15.8,24.25,0.7,188.59,42.15,1.07,0.21,12
Christmas cake,Carbohydrates (g),5.49,16.88,27.45,1.49,64.84,40.98,1.32,8.51,17.06
Strawberry and vanilla cake with butter icing,Carbohydrates (g),3.89,20.39,32.43,0.79,107.27,28.17,0.7,8.4,12.8
Eggless cake,Carbohydrates (g),8.12,11.75,27.7,0.68,310.5,212.97,0.61,1.35,7.58
Swiss roll,Carbohydrates (g),7.3,3.77,32.96,0.55,51.9,24.11,1.19,0,14.36
Pineapple pastry ,Carbohydrates (g),6.06,7.87,18.83,0.72,44.3,42.97,0.86,3.64,17.42
Black forest pastry,Carbohydrates (g),6.09,8.46,21.35,0.54,53.43,44.15,0.92,0.91,16.28
Coconut finger,Carbohydrates (g),7.09,8.86,28.55,1.87,46.86,24.04,1.31,0,15.88
Pineapple cake ,Carbohydrates (g),5.01,9.34,16.16,0.76,37.47,49.06,0.64,27.35,80.64
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Carbohydrates (g),6.56,23.62,22.58,1.54,280.44,36.1,1.37,0.16,4.22
Chocolate chip cookies,Carbohydrates (g),5.79,19.38,30.29,1.05,278.29,24.76,1.22,0,2.62
Sweet plain biscuit,Carbohydrates (g),5.86,17.67,21.77,1.07,132.59,42.88,0.92,0.03,1.7
Chocolate biscuit,Carbohydrates (g),5.88,17.09,24.16,1.01,127.02,41.51,1.14,0.03,1.81
Coconut biscuit (Nariyal ke biscuit),Carbohydrates (g),5.78,27.16,20.76,3.64,105.76,37.81,1.32,0.03,2.51
Sweet and salty biscuit (Meethay aur namkeen biscuit),Carbohydrates (g),6.15,22.39,7.22,1.68,414.7,37.24,1.05,0.03,1.02
Peanut biscuit,Carbohydrates (g),8.45,20.41,21.26,2.48,202.26,50.58,1.34,0.03,4.23
Pin wheel biscuit,Carbohydrates (g),5.4,18.66,23.25,1.16,131.73,42.7,1.13,0.05,1.72
Saffron biscuit (Kesar biscuit),Carbohydrates (g),6.05,22.01,22.42,1.9,5.65,25.71,1.23,0.01,1.1
Masala biscuit,Carbohydrates (g),6.06,20.75,6.82,2.14,714.52,53.73,1.32,0.15,2.15
Ice box cookies,Carbohydrates (g),5.7,14.44,26.69,1.28,449.14,18.5,1.04,0.1,1.64
Ginger bread man,Carbohydrates (g),6.61,11.01,29.12,1.6,477.99,37.92,2.12,0.09,4.65
Danish cookies,Carbohydrates (g),5.33,24.92,21.73,1.37,201.06,15.97,0.98,0,1.02
Short bread cookies,Carbohydrates (g),6.03,17.98,23.31,1.57,145,15.92,1.12,0,1.62
Coffee biscuit,Carbohydrates (g),6.9,23,21.69,1.59,112.53,48.92,1.27,0.03,3
Melting moments,Carbohydrates (g),5.71,21.78,25,1.88,119.09,30.39,1.2,0,3.59
Ginger biscuit (Adarak ke biscuit),Carbohydrates (g),5.98,18.31,27.06,1.49,79.68,25.97,2.2,0,1.59
Soyabean muthias,Carbohydrates (g),2.46,90.45,0.17,1.47,78.25,12.16,0.6,0.79,22.43
Soyabean tikki,Carbohydrates (g),3.53,74.02,0.35,2.2,88.72,29.23,1.04,6.71,57.9
Soyabean namak paras,Carbohydrates (g),2.65,89.83,0.22,1.41,72.05,12.13,0.64,0,45.64
Peanut burfi (Moongfali ki burfi),Carbohydrates (g),9.31,36.84,43.08,4.09,6.78,25.2,1.45,0,7.57
Spinach peanut namak paras (Palak moongfali namak paras),Carbohydrates (g),1.65,78.51,0.28,0.81,73.15,13.35,0.67,11.39,64.2
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),Carbohydrates (g),2.08,80.04,0.25,1.39,74.88,12.13,0.67,3.8,34.83
Rice moong dal cheela (Chawal aur moong dal ka cheela),Carbohydrates (g),2.74,82.44,0.15,1.18,142.82,4.99,0.51,0,12.8
Split bengal gram sweet rice (Channa dal sweet rice),Carbohydrates (g),4.15,0.64,19.41,2.23,8.38,30.37,1.77,0,48.48
Sweet poori (Meethi poori),Carbohydrates (g),2.12,79.63,7.15,1.54,2.57,34.24,1.13,0,18.38
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),Carbohydrates (g),9.84,18.41,31.12,6.02,5.25,25.2,2.3,0,9.07
Spinach burfi (Palak burfi),Carbohydrates (g),2.71,6.81,12.12,1.17,27.77,93.68,1.05,8.57,39.63
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),Carbohydrates (g),9.51,7.93,24.73,8.16,12.05,53.3,4.36,0,27.67
Sprouted moong daliya ,Carbohydrates (g),2.81,4.71,1.67,3.12,196.73,22.62,1.29,7.53,35.24
Sprouted moong poha ,Carbohydrates (g),5.59,6.89,1.93,3.13,220.82,28.39,2.43,19.24,46.81
Pearl millet ladoo (Bajra ladoo),Carbohydrates (g),9.61,8.06,27.44,6,12.26,118.74,4.72,0,19.1
Paushtik ladoo,Carbohydrates (g),7.65,24.98,38.12,4.57,6.09,20.67,1.63,0,16.16
Paushtik roti,Carbohydrates (g),7.17,1.51,2.03,5.74,170.96,52.74,2.62,6.65,42.1
Semolina carrot vada (Suji gajar vada),Carbohydrates (g),1.56,74.07,1.21,1.07,73.17,26.47,0.36,0.95,9.36
Dhokla,Carbohydrates (g),13.45,5.28,4.78,4.95,376.02,123.21,1.39,0.68,39.92
Kashmiri tea (Kehwa),Carbohydrates (g),0.17,0.51,5.14,0.16,0.29,3.19,0.07,0.06,0.82
Steeped hot coffee,Carbohydrates (g),0.39,0.33,2.96,0,2.82,10.4,0.06,0.3,1.27
Hot chocolate,Carbohydrates (g),3.43,4.61,8.86,0,36.04,113.63,0.33,3.62,13.41
Cold coffee (with cream),Carbohydrates (g),1.93,3.29,11.91,0,15.35,64.43,0.14,2.56,9.52
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Carbohydrates (g),2.01,2.77,9.94,0.27,16.63,68.3,0.14,6.99,20.73
Flavoured milkshake,Carbohydrates (g),2.06,2.83,8.61,0,16.34,75.05,0.11,3.62,12.65
Jal jeera,Carbohydrates (g),0.44,0.26,5.71,0.95,215.62,24.72,0.84,2.23,4.47
Gingo,Carbohydrates (g),0.14,0.06,12.08,0.17,21.5,6.33,0.21,8.39,8.49
Mintade,Carbohydrates (g),0.03,0.02,10.47,0.03,26.69,2.1,0.05,8.5,4.69
Canjee,Carbohydrates (g),0.24,0.42,0.21,0.36,43.03,5.82,0.17,0.52,3.61
Cauliflower canjee (Phoolgobhi ki canjee),Carbohydrates (g),0.39,0.42,0.09,0.49,41.45,6.26,0.22,7.86,9.26
Potato canjee (Aloo canjee),Carbohydrates (g),0.44,0.39,0.1,0.43,35.99,5.21,0.22,7.72,6.77
Vermicelli porridge (Semiya/Seviyan porridge),Carbohydrates (g),2.5,2.98,7.04,0.48,65.33,72.96,0.2,4.82,19.51
Semolina upma (Suji/Rava upma),Carbohydrates (g),3.3,7.49,1.31,3.24,101.59,21.57,1.1,4.64,15.13
Vermicelli upma (Semiya/Seviyan upma),Carbohydrates (g),3.11,7.45,1.4,3.21,101.8,20.3,0.93,4.64,12.64
Rice upma,Carbohydrates (g),2.63,7.46,1.13,2.12,101.75,17.57,0.67,4.64,11.94
Bread upma,Carbohydrates (g),2.8,7.75,1.56,1.96,176.44,45.22,0.82,4.64,15.79
Vegetable upma,Carbohydrates (g),4.73,6.63,1.39,4.19,347.02,26.68,1.35,14.42,50.48
Poha,Carbohydrates (g),6.09,14.14,0.87,3.72,377.1,37.67,3.01,6.62,11.96
Vegetable poha,Carbohydrates (g),4.89,8.07,1.4,3.76,418.02,28.01,1.92,7.21,21.79
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),Carbohydrates (g),6.97,5.11,1.11,4.25,267.23,39.34,2.22,34.81,79.95
Paneer stuffed cheela/chilla,Carbohydrates (g),11.44,8.89,3.81,4.03,289.1,151.3,2.41,19.76,116.52
Indian style egg bhujia (Anda bhujia (Indian style)),Carbohydrates (g),6.1,7.02,1.95,1.53,218.05,31.9,1.14,13.56,40.85
French omelette/omlet,Carbohydrates (g),10.03,18.86,0.1,0.38,381.85,46.35,1.58,0.48,25.79
Puffy omelette/omlet,Carbohydrates (g),8.82,16.84,0.08,0,340.53,34.96,1.2,0,24.66
Orange omelette/omlet,Carbohydrates (g),8.93,16.84,1.68,0,340.92,37.33,1.26,7.2,28.86
Cheese and mushroom omelette/omlet,Carbohydrates (g),9.69,17.82,1.07,0.93,400.29,148.77,1.01,0.48,32.02
