Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Bathua raita,Carbohydrates (g),4.13,1.76,4.11,2.19,110.92,206.31,1.46,43.65,61.2
Pineapple raita (Ananas ka raita),Carbohydrates (g),3.9,2.02,8.12,1.39,135.48,134.53,0.27,19.89,27.72
Banana raita (Kele ka raita),Carbohydrates (g),4.13,2.07,10.11,1,135.43,133.23,0.31,5.73,27.58
Mango raita (Aam ka raita),Carbohydrates (g),3.9,2.14,7.87,0.89,135.46,136.06,0.34,18.19,59.64
Guava raita (Amarood ka raita),Carbohydrates (g),4.19,2.07,6.71,3,135.94,136.93,0.28,108.7,33.5
Grapes raita (Angoor ka raita),Carbohydrates (g),3.98,2.07,8.51,0.71,135.64,134.52,0.26,10.55,22.88
Bottle gourd kheer (Ghiya/Lauki kheer),Carbohydrates (g),2.7,3.86,9.63,0.55,19.62,94.18,0.23,6.2,35.87
Pumpkin kheer (Kaddu ki kheer),Carbohydrates (g),2.76,3.86,10.12,0.63,20.99,95.61,0.24,8.06,26.95
Apple kheer (Seb ki kheer),Carbohydrates (g),2.14,3.18,10.71,0.51,15.86,75.67,0.18,5.82,16.4
Caramel custard (baked),Carbohydrates (g),5.11,5.01,14.92,0,44.78,90.59,0.53,3.02,35.21
Vanilla ice cream without egg,Carbohydrates (g),2.69,18.15,13.45,0,23.97,81.27,0.1,2.13,9.67
Vanilla ice cream with egg,Carbohydrates (g),4.16,17.02,11.69,0,37.72,77.42,0.34,2.13,21.98
Strawberry ice cream,Carbohydrates (g),4.15,16.96,11.6,0,37.62,77.08,0.34,2.13,22
Chocochip ice cream,Carbohydrates (g),4.23,17.93,16.08,0,34.84,73.22,0.51,2.13,24.1
Choconut ice cream,Carbohydrates (g),5.04,18.49,21.02,0.51,29.83,67.38,0.89,2.17,29.32
Pear chocholate sunday,Carbohydrates (g),2.08,13.11,14.41,0.07,16.26,56.67,0.24,3.34,12.72
Chocolate sauce,Carbohydrates (g),1.91,10.39,42.06,0,2.8,18.8,1.13,0,0.63
Coffee ice cream,Carbohydrates (g),3.15,9.43,13.35,0,42.09,95.72,0.15,2.16,7.18
Coffee pear alaska,Carbohydrates (g),2.88,13.22,16.88,0.15,51.11,60.61,0.22,3.48,13.85
Crunchy butterscotch,Carbohydrates (g),3.11,20.99,17.73,0.47,22.24,72.26,0.26,2.13,18.72
Peach melba ice cream,Carbohydrates (g),2.06,14.51,13.35,0.06,17.92,60.55,0.11,2.99,11.79
Vanilla ice cream with apples in hot cherry sauce,Carbohydrates (g),1.73,11.45,14.19,0.26,31.54,56.34,0.16,4.23,10.77
Grape and orange whip,Carbohydrates (g),1.41,2.62,5.66,0.97,14.36,17.4,0.53,34.86,16.85
Honey banana cream,Carbohydrates (g),2.78,6.68,10.51,0.7,15.65,43.52,0.23,16.68,28.45
Raspberry bavarian cream,Carbohydrates (g),3.34,7.88,15.3,2.19,24.59,26.4,0.31,21.41,20.79
Fruit delight,Carbohydrates (g),2.09,7.09,9.03,0.09,17.27,71.69,0.15,7.74,19.39
Creamy chocolate mousse,Carbohydrates (g),6.85,18.16,8.99,0,48.64,45.25,0.96,0.75,33.07
Cold lemon souffle,Carbohydrates (g),5.89,9.78,13.88,0,46.35,55.03,0.53,8.65,31.24
Cold orange souffle,Carbohydrates (g),5.94,9.82,14.42,0.11,46.53,55.45,0.57,10.08,33.8
Cold pineapple souffle,Carbohydrates (g),6.23,10.39,14.99,0,49.38,57.13,0.54,1.88,30.3
Cold vanilla souffle,Carbohydrates (g),6.22,10.32,14.49,0,49.09,62.47,0.52,1.3,30.71
Cold chocolate souffle,Carbohydrates (g),6.37,10.86,15.31,0,47.77,62.91,0.68,1.3,32.45
Stewed fruit (with pear),Carbohydrates (g),0.25,0.32,17.67,2.84,1.7,5.94,0.21,2.48,4.33
Apricot fool,Carbohydrates (g),1.54,11.35,21.29,1,8.28,26.37,0.73,1.47,11.46
Pavlova,Carbohydrates (g),1.84,12.29,20.37,0.06,26.34,23,0.25,23.78,19.18
Apple crumb pudding,Carbohydrates (g),1.54,8.87,27.69,1.33,59.36,38.49,1.05,3.6,7.86
Steamed cake with chocolate sauce,Carbohydrates (g),4.49,19.01,19.72,0.29,100.32,67.76,0.85,1.81,25.81
Hot lemon souffle,Carbohydrates (g),5.29,7.93,12.07,0.14,47.75,48.77,0.55,12.93,20.7
Gulab jamun with milk powder,Carbohydrates (g),0.85,40.15,27.04,0.05,67.28,26.13,0.13,0.41,4.56
Chum chum,Carbohydrates (g),1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2
Dil bahar,Carbohydrates (g),1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2
Rasbhari,Carbohydrates (g),1.52,1.92,27.84,0.02,16.65,62.58,0.13,2.69,10.2
Rajbogh,Carbohydrates (g),1.71,2.28,27.66,0.11,16.57,63.23,0.17,2.69,12.02
Rasgulla,Carbohydrates (g),1.38,1.75,25.4,0.01,15.19,57.09,0.12,2.69,10.2
Rasmalai,Carbohydrates (g),1.61,2.11,28.71,0.07,16.46,62.31,0.15,2.69,11.29
Khoa coconut burfi,Carbohydrates (g),9.98,26.01,35.6,4.07,31.14,309.84,2.1,0,26.6
Danedar burfi,Carbohydrates (g),3.24,4.72,11.98,0.09,23.31,107.53,0.24,3.36,9.75
Semolina burfi (Suji/Rava burfi),Carbohydrates (g),3.47,16.86,28.67,2.8,8.33,14.86,1.01,0,3.21
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),Carbohydrates (g),1.75,12.66,16.11,4.29,8.95,21.76,0.79,3.02,11.48
Khoa ladoo,Carbohydrates (g),12.21,24.09,33.37,3.08,31.71,358.61,2.25,0.02,27.31
Wheat and gram flour ladoo (Atta besan ladoo),Carbohydrates (g),9.38,29.86,18.46,6.01,27.06,35.27,2.39,0,14.55
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),Carbohydrates (g),5.44,25.45,19.79,4.27,3.93,18.04,1.81,0.03,4.01
Sesame chickpeas brittle (Til aur channe ki chikki),Carbohydrates (g),8.5,4.66,36.48,5.54,17.93,150.73,4.8,0,23.64
Murmura chikki,Carbohydrates (g),2.12,0.32,48.27,0.37,15.03,63.3,3.3,0,2.16
Masala onion pakora/pakoda (Pyaaz ke pakode),Carbohydrates (g),2.05,57.61,1.58,1.44,99.22,11.06,0.42,1.18,14.65
Masala green chilli pakora/pakoda (Hari mirch kay pakode),Carbohydrates (g),2.22,71.01,0.27,1.34,120.9,8.58,0.47,3.84,12.67
Chicken pakora/pakoda,Carbohydrates (g),6.03,60.98,0.22,0.96,103.23,9.08,0.51,0.14,11.46
Fish pakora/pakoda,Carbohydrates (g),5.97,59.52,0.22,0.96,112.24,12.65,0.63,0.14,11.02
Paneer cutlet,Carbohydrates (g),4.59,69.38,2.52,0.39,91.45,107.86,0.48,1.81,38.34
Sago cutlet/vadas (Sabudana cutlet/vadas),Carbohydrates (g),0.56,56.97,0.1,0.54,48.17,5.43,0.38,13.39,9.09
Poshtik cutlet,Carbohydrates (g),2,50.94,0.32,1.35,57.11,14.94,0.69,16.42,43.66
Egg cutlet (Anda cutlet),Carbohydrates (g),2.45,60.25,0.2,0.58,79.4,16.22,0.56,11.07,22.05
Minced meat cutlet,Carbohydrates (g),5.1,54.47,0.31,0.4,95.81,20.82,0.63,1.81,8.86
Vegetable samosa,Carbohydrates (g),2.21,42.22,0.74,1.52,107.7,10.37,0.6,10.06,12.39
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),Carbohydrates (g),4.39,76.32,0.16,2.27,65.87,10.6,0.96,0,13.31
Masala urad dal vada,Carbohydrates (g),4.32,71.62,0.7,2.71,61.49,11.87,1,2.05,15.89
Khaman (dhokla),Carbohydrates (g),1.92,2.8,1.36,1.49,124.1,5.31,0.58,2.6,19.33
